frameNo,frameScore,firstTokenOfFrame
0,2,couple
1,212,work
2,5,allotment
3,11,like
4,15,neighbours
5,12,mind
6,7,stretch
7,3,budget
8,6,growing
9,8,fruit
10,9,vegetables
11,2,fear
12,15,spring
13,6,son
14,8,left
15,8,rolling
16,4,house
17,3,like
18,205,two
19,1,peas
20,2,fill
21,6,time
22,4,couples
23,20,research
24,10,project
25,6,enthusiasm
26,19,first
27,204,soil
28,13,bin
29,216,crop
30,12,varieties
31,15,composition
32,12,earth
33,4,planting
34,1,schedule
35,8,spring
36,627,vegetables
37,437,onions
38,54,cauliflower
39,214,garlic
40,9,leeks
41,8,rest
42,16,plot
43,7,left
44,3,frosts
45,5,time
46,6,couple
47,3,at
48,23,first
49,10,plot
50,26,holders
51,14,diligence
52,5,feel
53,4,welcome
54,44,end
55,7,first
56,1,month
57,2,as
58,3,tradition
59,21,newcomers
60,5,gifts
61,218,fruit
62,413,vegetables
63,1,summer
64,38,bags
65,38,runner
66,153,beans
67,353,courgettes
68,77,tomatoes
69,56,plums
70,205,squashes
71,2,pumpkin
72,5,time
73,6,people
74,8,allotment
75,4,couple
76,6,introduction
77,6,community
78,17,preoccupation
79,21,hope
80,3,relationships
81,8,one
82,4,man
83,4,plot
84,2,he
85,16,ownership
86,2,month
87,13,work
88,9,despite
89,12,foot
90,207,he
91,2,allotment
92,3,age
93,22,point
94,5,he
95,204,or
96,7,or
97,7,at
98,8,push
99,6,reason
100,202,he
101,7,bit
102,2,people
103,8,he
104,12,way
105,5,reply
106,16,heavy
107,2,accent
108,4,or
109,4,europe
110,7,couple
111,1,mans
112,215,manner
113,16,difference
114,11,constant
115,12,presence
116,7,allotment
117,3,relationship
118,10,going
119,204,experience
120,6,time
121,5,couple
122,19,first
123,3,he
124,22,bent
125,36,double
126,9,turning
127,8,soil
128,6,like
129,4,peasant
130,20,field
131,11,dedication
132,2,couple
133,16,work
134,11,no
135,6,response
136,10,prod
137,4,man
138,7,detail
139,14,plans
140,16,one
141,8,at
142,20,beginning
143,202,he
144,10,urgency
145,3,he
146,17,delivery
147,20,set
148,6,planting
149,234,rose
150,45,bushes
151,30,flowers
152,8,allotment
153,12,seeds
154,7,patch
155,13,practice
156,7,planting
157,310,nasturtiums
158,6,as
159,214,companions
160,256,carrots
161,227,beans
162,209,whole
163,4,plot
164,4,cultivation
165,3,particular
166,8,bloom
167,2,couple
168,4,saw
169,2,secret
170,8,neighbour
171,9,as
172,202,he
173,4,planting
174,5,roses
175,3,deep
176,5,he
177,6,left
178,3,at
179,2,couple
180,4,nature
181,10,reply
182,2,curiosity
183,12,walks
184,6,allotment
185,3,looking
186,3,fill
187,203,time
188,9,emptiness
189,3,one
190,34,day
191,30,bird
192,5,hole
193,2,dead
194,27,tree
195,4,at
196,29,end
197,30,plot
198,36,bird
199,4,couple
200,48,return
201,14,home
202,14,hold
203,18,attention
204,14,spring
205,30,following
206,2,week
207,8,rain
208,204,coming
209,30,down
210,2,couple
211,65,bird
212,4,cold
213,20,approaching
214,15,tree
215,2,man
216,4,standing
217,8,rain
218,11,at
219,10,soil
220,206,he
221,6,he
222,6,straight
223,204,as
224,209,water
225,10,flat
226,17,cap
227,5,streams
228,8,as
229,7,he
230,11,roses
231,211,spring
232,10,ground
233,6,couple
234,2,at
235,16,arrival
236,13,spring
237,10,allotment
238,2,people
239,32,finishing
240,10,touches
241,11,preparations
242,1,seasons
243,8,growing
244,8,frost
245,7,magic
246,32,weed
247,6,tickle
248,11,earth
249,2,couple
250,11,plans
251,144,carrots
252,80,lettuces
253,13,fleece
254,64,canes
255,70,beans
256,245,onions
257,5,order
258,30,root
259,38,fly
260,280,courgette
261,606,plants
262,11,pots
263,11,cloches
264,59,tomatoes
265,162,peppers
266,59,potatoes
267,10,trenches
268,38,man
269,2,pruning
270,404,rose
271,220,bushes
272,24,plants
273,11,well
274,5,leaves
275,7,dark
276,16,red
277,9,showing
278,6,signs
279,16,green
280,4,couple
281,4,maturation
282,18,last
283,5,week
284,284,roses
285,264,flowers
286,52,heads
287,4,deep
288,663,apricot
289,54,pink
290,60,orange
291,208,bushes
292,5,three
293,10,rows
294,12,earth
295,4,clear
296,289,plant
297,38,life
298,14,flowers
299,29,beauty
300,1,mans
301,12,plot
302,10,sight
303,6,allotment
304,17,one
305,205,morning
306,8,may
307,2,couple
308,23,start
309,7,find
310,15,neighbour
311,5,standing
312,4,same
313,16,spot
314,10,as
315,204,he
316,204,he
317,5,at
318,1,looking
319,5,good
320,2,man
321,204,he
322,2,past
323,4,couple
324,206,as
325,204,he
326,14,efforts
327,3,audience
328,11,as
329,202,he
330,7,or
331,9,care
332,5,he
333,208,hand
334,2,chin
335,9,as
336,202,thought
337,5,good
338,202,he
339,2,he
340,19,back
341,4,plot
342,2,couple
343,2,encounter
344,201,evidence
345,27,mans
346,2,eccentricity
347,7,as
348,8,he
349,233,sob
350,224,head
351,602,whole
352,8,body
353,12,wracks
354,7,distress
355,5,incident
356,2,man
357,4,limit
358,3,curiosity
359,8,go
360,203,thoughts
361,9,welcome
362,9,response
363,7,one
364,9,time
365,38,arrival
366,67,first
367,27,cauliflower
368,103,heads
369,30,end
370,212,spring
371,14,counsel
372,2,neighbours
373,202,summer
374,2,season
375,204,rhythms
376,3,growing
377,8,cycle
378,35,familiar
379,91,potatoes
380,40,beetroot
381,21,courgettes
382,9,attention
383,29,green
384,13,fingers
385,1,people
386,36,natural
387,5,gardeners
388,21,top
389,15,corner
390,9,allotment
391,13,house
392,10,plot
393,8,newcomer
394,5,due
395,5,ritual
396,5,gifts
397,7,fruit
398,10,vegetables
399,4,couple
400,17,saw
401,33,arrival
402,7,community
403,5,as
404,366,roses
405,44,back
406,38,man
407,179,raspberries
408,277,gooseberry
409,78,bushes
410,237,leeks
411,32,garlic
412,8,courgettes
413,4,present
414,5,allotments
415,9,recruit
416,6,selection
417,9,plot
418,10,door
419,30,roses
420,202,couple
421,7,spoke
422,7,number
423,33,flowers
424,17,fact
425,28,bushes
426,6,thickening
427,20,beginning
428,18,subject
429,2,man
430,2,indifference
431,4,total
432,11,notice
433,7,visits
434,4,allotment
435,405,he
436,3,show
437,405,he
438,12,as
439,205,he
440,5,bone
441,6,he
442,6,curl
443,4,at
444,4,edges
445,3,like
446,4,leaf
447,3,couple
448,4,cold
449,46,lettuce
450,7,looking
451,225,birds
452,9,spring
453,140,raspberries
454,57,crop
455,84,beans
456,237,leeks
457,58,garlic
458,310,may
459,20,man
460,2,couple
461,3,news
462,205,roses
463,11,bushes
464,7,detritus
465,14,patch
466,4,earth
467,1,flowering
468,129,colour
469,230,like
470,30,explosions
471,31,like
472,22,suns
473,209,way
474,13,mind
475,4,arrangement
476,6,flowers
477,5,memorial
478,3,garden
479,7,moment
480,5,couple
481,6,thought
482,21,man
483,208,life
